Sector,Mean,SARIMA MAPE,XGBoost MAPE,Ensemble MAPE,SARIMA RMSE,XGBoost RMSE,Ensemble RMSE,SARIMA MAE,XGBoost MAE,Ensemble MAE,,,,
22131,342.87015,109,39,20,360,143,70,320,110,51,,6857.403,24000.9105,17486.37765
22121,111,99,90,91,51,46,46,46,37,37,,10101,5106,4107
2212,19,58,154,28,13,28,7,11,26,5,,532,133,95
2211,1074,42,41,35,288,337,250,198,314,149,,37590,268500,160026
221321,208,17,26,7,43,71,19,32,48,15,,1456,3952,3120
22122,881,5,35,7,65,334,75,45,318,63,,6167,66075,55503
,,,,,,,,,,,,,,
,2635.87015,,,,,,,,,,,23.78850225,139.5239103,91.17952098
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,MAPE,RMSE,MAE,,,,,,,
,,,,,23.78850225,139.5239103,91.17952098,,,,,,,
